name,idea,location,start_date,operating_years,number_employees,status,latest_funding_round
'Pass the Keys','Pass the Keys provides landlords with a hassle-free Short let management solution through a scalable tech solution.',London UK,2015,3.0,11-50,,
'preoday',"'Web and mobile platforms for pre-ordering food, drink, goods and services'",London UK,2012,6.0,11-50,,
'Hyper Host','Customised cloud hosting for digital agencies and freelancers',London UK,2017,1.0,1,,
'Advanced Logic Analytics','Data science business delivering AI-driven algorithm solutions and apps for the global fund markets.',London UK,2017,1.0,5-10,,
'Welendus','Welendus is a short-term consumer peer-to-peer lending platform authorised and regulated by the FCA with Full Authorisation',London UK,2015,3.0,5-10,,
'Hyperwage','Cryptocurrency payment tools for buyers and sellers',London UK,2018,0.0,5-10,,
'Love the Sales','Love the Sales takes the sales on many websites and puts them on one website.',London UK,2015,3.0,5-10,,
'Shufti Pro','Shufti Pro is a Digital KYC and AML service.',Bath UK,2017,1.0,11-50,,
'DadShed','Property Management Marketplace',Manchester UK,2013,5.0,3,,
'Netpeak Checker','A multifunctional research tool for bulk SEO analysis that helps you audit URLs by a wide range of parameters',London UK,2016,2.0,11-50,,
'Netpeak Spider','A desktop tool for fast and comprehensive technical audit of the entire website. Created by Netpeak Software',London UK,2016,2.0,11-50,,
'Primo Toys',"'Primo Toys helps children to learn, play, and create with technologies.'",London UK,2013,5.0,11-50,,
'BuzzRamp','BuzzRamp makes Marketing and PR easier for smaller businesses',London UK,2017,1.0,4,,
'Good Night Lamp','Good Night Lamp lets global friends and family share their presence and availability in an ambient way.',London UK,2012,6.0,2,,
'MIRACL','MIRACL authentication solutions use a zero-knowledge proof to mitigate against data breaches and identity theft.',London UK,2008,10.0,51-100,,
'ReponseIO','ReponseIO is a Social People Analytics Platform for Digital Marketers.',London UK,2017,1.0,2,,
'Readory','The platform for written content',London UK,2017,1.0,5-10,,
'Postkit','Postkit allows developers to create API endpoints for their apps and websites in less than 2 minutes.',London UK,2017,1.0,1,,
'Nobly POS','Cloud based iPad Point of Sale (EPOS) platform.',London UK,2011,7.0,11-50,,
'Digital Fineprint','Turning Social Data Into Insurance Data',London UK,2016,2.0,11-50,,
'Prodsight',"'Track Intercom conversation topic trends and make better product, sales and marketing decisions'",Edinburgh UK,2017,1.0,1,,
'Health & Parenting','This Pregnancy+ App is created by Health & Parenting in partnership with Philips.',Guildford UK,2012,6.0,51-100,,
'Knowledge Officer','Building personalised and dynamic learning paths that help professionals achieve their career goals.',London UK,2017,1.0,5-10,,
'Checkbot',"'Checkbot for Chrome tells you how to boost the SEO, speed & security of your site by letting you test 1,000s of pages in minutes with ease.'",Edinburgh UK,2018,0.0,1,,
'Sports Wearable',"'We share the latest news on the use of wearable technology in sports including product reviews, startups, ideas and trends.'",Swindon UK,2015,3.0,3,,
'SmartTrade App',"'Accept card payments, run your business and do your paperwork straight from your smartphone.'",London UK,2014,4.0,5-10,,
'ukauto',"""import voiture d'occasion angleterre, achat vehicule d’Angleterre import rhd,achat voiture angleterre importation voiture d'angleterre""",London UK,2018,0.0,2,,
'Concirrus','Concirrus is the creator of Quest - big data and machine learning software for commercial marine and motor insurers.',London UK,2012,6.0,11-50,,
'Arena Online',"'Flowers & gifts, London, UK & Europe'",London UK,2007,11.0,11-50,,
'Carcela','Making it incredibly easy to buy and sell your car in a 21st century world',London UK,2016,2.0,11-50,,
'HeapX','A Secure Crypto Trading Exchange for the masses.',London UK,2017,1.0,11-50,,
'LabRecruit','Technology Recruitment Fused with Artificial Intelligence',London UK,2017,1.0,5-10,,
'Campus Society',"""All the world's students in one place""",London UK,2013,5.0,11-50,,
'Match Capital','Match Capital is a marketplace which connects growing businesses and relevant investors together.',London UK,2012,6.0,4,,
'TheSMSWorks','A low cost reliable SMS API for developes',Bristol UK,2017,1.0,2,,
'Pilcro','Smart brand management software for G-Suite. Improve your brand clarity with pilcro - your virtual brand champ.',London UK,2017,1.0,4,,
'Hyperstarter','Hyperstarter is an analytics tool that works with crowdfunding campaigns and gives valuable advice on how to make them successful.',Bristol UK,2016,2.0,4,,
'BioBeats','Innovating & creating stress management and wellbeing products that help to transform people’s lives for the better',London UK,2013,5.0,11-50,,
'Wriggle','A web and app marketplace helping people discover and transact at handpicked local food & drink establishments.',Bristol UK,2014,4.0,11-50,,
'Blue Med Islands L.T.D','The Plan is to build A  hexagon float. Floating City with 60 meters to the side. 5 levels / floors. apartments offices .',London UK,2015,3.0,1,,
'JAFA','The digital home for football fans',London UK,2016,2.0,5-10,,
'Broadstone',"'Find & manage high paying, reliable temporary jobs in the security industry'",Manchester UK,2017,1.0,5-10,,
'Save your wardrobe','FashionTech startup mixing AI & IoT to help people manage their wardrobe and buy better',London UK,2016,2.0,4,,
'WorkClub',"""London's most affordable network of coworking clubs, perfect for those that need flexible workspace & bookable meeting rooms.""",London UK,2017,1.0,3,,
'Manipulist','Save hours on your daily web tasks!',Cardiff UK,2016,2.0,1,,
'stinjee',"'Stinjee finds all the best food and drink offers in your area, right now!'",London UK,2015,3.0,5-10,,
'Vie','_',London UK,2017,1.0,1,,
'Jumplead Marketing Automation','Jumplead is marketing automation software designed to be lean.',Leicester UK,2011,7.0,5-10,,
'SkinNinja',"""Discover what's hiding in your skincare and cosmetics. 17 health concerns, including contact allergens and carcinogens across 800k products.""",London UK,2015,3.0,4,,
'Downtime Monkey','Website downtime alerts & monitoring. Email/SMS alerts if a website goes down. 60 websites monitored completely free. Powerful Pro features.',Edinburgh UK,2017,1.0,2,,
'Bibblio','Bibblio boosts engagement and revenue by suggesting the best content to your users from across your site.',London UK,2014,4.0,11-50,,
'SymbaSync Ltd',"'Instantly solving all sourcing, matching, and vetting problems for hiring.'",Edinburgh UK,2017,1.0,5-10,,
'Crème de la Crème',"""We're connecting companies with a selective community of freelancers in order to shape the future of work.""",London UK,2015,3.0,11-50,,
'Balance','An Ethereum wallet for all your ERC-20 tokens.',San Francisco UK,2016,2.0,5-10,,
'Atlas Neue',"'Atlas Neue creates, funds and supports exciting ventures in the blockchain space.'",London UK,2017,1.0,3,,
'Prumio','Prumio is an AI-driven platform that helps companies get press coverage cost-effectively to save time and money',London UK,2018,0.0,2,,
'Talent Tin',"'A digital community of top-level creative talent, exclusively for the fashion industry, accessible through a network of freelancers.'",London UK,2017,1.0,2,,
'Shuttout','Social photography contest platform with money prizes that rise with each participant.',Rotherham UK,2016,2.0,5-10,,
'Bean Lite','New celebrity fitness trainer Prof Greg Whyte releases a Bespoke Exercise And Nutrition App',Bicester UK,2017,1.0,3,,
'Fleyver',"'A fun new way to find drinks you might enjoy, based on recommendations that matter rather than a number'",Gloucester UK,2017,1.0,1,,
'Captive Media','Captive Media manufactures an interactive entertainment and digital signage system for installation in washrooms.',London UK,2007,11.0,2,,
'Saberr','Saberr creates technology to help teams work well together.',London UK,2013,5.0,11-50,,
'thegreyparrots','Pорulаrіtу оf wоо соmmеrсе рlаtfоrm is nоt hidden frоm аnуbоdу.',london UK,2013,5.0,5-10,,
'InfoSum','InfoSum’s decentralised technology allows companies to combine and analyse data in disparate schemas without moving or sharing it.',Basingstoke UK,2015,3.0,11-50,,
'Buildily',"'Buildily is an all in one business platform, providing effective tools to help entrepreneurs start, build or grow their business.'",London UK,2017,1.0,3,,
'City Pantry',"""City Pantry delivers London's best food for lunch meetings, office parties or weekly team lunches to 500 of London's best companies""",London UK,2014,4.0,11-50,,
'Middletrust',"""Middletrust is Africa's most reliable escrow payment service provider.""",Lagos Nigeria,2019,1.0,5-10,,
'JobHuntr','JobHuntr.io is the best place to find jobs on the internet',Lagos Nigeria,2019,0.0,1,,
'Falt Inc',"'Falt Inc is a Nigerian Tech Startup in website development, mobile app development, and computer hardware.'",Lagos Nigeria,2019,0.0,5-10,,
'lexdot','Lexdot is the marketplace of flexible legal professionals',Abuja Nigeria,2019,0.0,1,,
'Startup Plug',"""Platform that curates the best resources and tools to help accelerate a startup's journey especially those based in Africa.""",Lagos Nigeria,2018,1.0,3,,
'Miduman','Connects business owners to technical and creative freelancers.',Lagos Nigeria,2018,1.0,1,,
'Quizac','A peer to peer quiz app where students review learned topic with focus on longer retention',Lagos Nigeria,2018,1.0,4,,
'Sprinble',"'We are a digital agency with expertise in Web development, Mobile development, Creative designs, UI/UX designs, and digital marketing.'",Lagos Nigeria,2018,1.0,11-50,,
'SUAPP','SUAPP is a Decentralized idea sharing and rewards blockchain platform',Lagos Nigeria,2018,1.0,4,,
'Swish',"'Last-mile delivery experts built around Growth, Technology and Quality, We help businesses grow.'",Abuja Nigeria,2018,1.0,11-50,,
'TREP LABS','Low cost infusion monitor device for simpler and safer blood transfusion',Lagos Nigeria,2018,1.0,3,,
'Vesicash','Vesicash Technologies is an instant digital escrow service provider for peer-to-peer and marketplace transactions.',Lagos Nigeria,2018,1.0,4,,
'Zeno','Mobile app delivering mass transportation as a service via ride sharing',Lagos Nigeria,2017,2.0,5-10,,
'Payant','Payant provides an easy way for Africans to send and receive money both online and offline.',Kaduna Nigeria,2016,3.0,5-10,,
'Moyi',"'The main items   Instant DID or virtual number assignment, virtual office/secretary, PBX, and money exchange.'",Abuja Nigeria,2018,1.0,2,,
'OsusuMobile','Our products help micro businesses to become economically empowered',Lagos Nigeria,2017,2.0,11-50,,
'TERAWORK',"'TERAWORK is a website that connects freelancers & service providers with individuals or businesses that need their skills, and services.'","Lekki, Lagos Nigeria",2017,2.0,11-50,,
'Rose robin','A better way to follow quotes and replies to tweets',Lagos Nigeria,2018,1.0,1,,
'Wangll','Wangll is an asynchronous status reporting tool for teams. Improving transparency and communication.',Lagos Nigeria,2017,1.0,1,,
'Conteidon','Conteidon is a cloud-based Content Management System that focuses on productivity.',Lagos Nigeria,2017,1.0,2,,
'Cynocrypt','We partner with entrepreneurs and startups to transform their ideas into profitable tech companies.',Uyo Nigeria,2018,0.0,5-10,,
'Hutbay',"""Nigeria's real estate marketplace""",Yaba Nigeria,2013,5.0,5-10,,
'Repools','Our mission is to build unconventional communities that helps people connect and improve lives through our products',Lagos Nigeria,2017,1.0,5-10,,
'Barttar',"'Easily trade anything with anyone, even time.'",Lagos Nigeria,2017,1.0,5-10,,
'InvoiceApp','Free Online Invoicing Software For Small Business Owners And Freelancers.',Lagos Nigeria,2017,1.0,5-10,,
'MailOptin','WordPress plugin to grow & engage your email list',Lagos Nigeria,2017,1.0,3,,
'YesOrNoLive','YesOrNoLive enables Nigerians to predict and earn cash on Entertainment; Politics; Business ; Sports  and General topics',Lagos Nigeria,2017,1.0,11-50,,
'Touchabl Pictures',"""With Touchabl, you can instantly search for anything in a picture by touching it. It's like a magic wand, but for Pictures.""",Port Harcourt Nigeria,2017,1.0,5-10,,
'Cars45',"'Cars45 buys, sells, prices, and rates the condition of pre-owned autos.'",Lagos Nigeria,2015,3.0,51-100,,
'Helm And Keyboard','Helm helps you save any info you come across while using your iOS device and lets you access the saved info from any app with its keyboard.',Abuja Nigeria,2017,0.0,2,,
'Banta','Banta is a social platform that allow you express yourself without revealing your identity.',Abuja Nigeria,2017,0.0,5-10,,
'Paystack',"'Paystack lets businesses accept payments via credit card, debit card, money transfer and mobile money on their websites or mobile apps.'",Ikeja Nigeria,2015,2.0,11-50,,
'ChowHub','ChowHub is an online restaurant discovery and food ordering service.',Abuja Nigeria,2015,1.0,3,,
'ScholarX','ScholarX helps young Africans access quality education for free or cheaper through scholarships',Lagos Nigeria,2016,0.0,4,,
'RubiQube','RubiQube is a video advertising network that gives users the power to acquire premium content by watching a 15-second advert.',Lagos Nigeria,2016,0.0,2,,
Oratio,"Oratio helps businesses to connect with their customers on messengers like WhatsApp, Facebook Messenger, Telegram and others through personal conversations and chatbots",,,,,Failed,
Knowmads.capetown,Leadership programmes,,,,,Failed,
Shyp,Provides shipping services that ranges from picking-up the package to delivering it to the destination.,,,,,Failed,
Kaitek,"Kaitek developed bacterial sensors for food safety. The first product: a rapid detection kit for shellfish toxicity, based on synthetic biology.",,,,,Failed,
Pepup World,"Connecting local retail shops with nearby customers, later on pivoted on niche segment, then closed",,,,,Failed,
Hubrif,Hubrif was an online distributor of African short films and a one-stop film festival submission gateway platform for African filmmakers,,,,,Failed,
Vidme,Video sharing platform,,,,,Failed,
Sharkius,"Sharkius Games was an internet games company based in London UK, which aimed to create engaging and meaningful social experiences.",,,,,Failed,
Walnut,A better moving company,,,,,Failed,
Juicero,Inventor of the first home cold-pressed juicing system,,,,,Failed,
ReadByHumans,"Converted articles, in to human-read audio on demand.",,,,,Failed,
Washio,Washio was an on-demand laundry service,,,,,Failed,
Yik Yak,Yik Yak is a location-based social network that helps you connect with the people around you.,,,,,Failed,
Sprig,Sprig is an online app provides healthy organic meals delivered in 15 minutes.,,,,,Failed,
Quanttus,Not the founder. Looks like blood pressure on the wrist.,,,,,Failed,
Echelon Exchange,algorithmic online stock exchange  ,,,,,Failed,
RethinkDB,NoSQL database,,,,,Failed,
Gigger,"Online gig booking system for bands, promoters, and venues.",,,,,Failed,
Spinvite,Event invitation and sharing,,,,,Failed,
Fuhu,Childrens tablets and apps.,,,,,Failed,
GamersTube.com,First HD cross-compatible video host just for gamers. ,,,,,Failed,
Shipbeat,A single platform for e-commerce logistics.,,,,,Failed,
Brisk.io,"Recommend actions to salespeople from their data (CRM, email, etc)",,,,,Failed,
sociavstre.am,Aggregate Instagram content by both location and hashtag,,,,,Failed,
cookisto,Cookisto is an online community marketplace for homemade food.,,,,,Failed,
Vym,Review GitHub Pull Requests with a slide show without leaving GitHub,,,,,Failed,
SpoonRocket,on-demand food delivery,,,,,Failed,
Eulergy,connect university research with businesses,,,,,Failed,
Sharingear,A p2p marketplatform for music instruments and backline rental,,,,,Failed,
HouseThis,India's first NRI-focused Real Estate portal,,,,,Failed,
Homejoy,Home cleaning service.,,,,,Failed,
EverythingMe,Adds Contextual capabilities to mobile phones,,,,,Failed,
Zirtual,Unlimited virtual assistant tasks for a monthly price,,,,,Failed,
PoliMobile,Mobile marketing for political campaigns,,,,,Failed,
Last Guide Co.,Apps that encouraged real world interactions,,,,,Failed,
alikolo,e-Commerce Marketplace,,,,,Failed,
Circa News,mobile news app,,,,,Failed,
Tale of Tales,Create narrative based video games.,,,,,Failed,
Paid for Stripe,Most popular 3rd party app for Stripe for 2 years,,,,,Failed,
Lumos,Machine learning enabled smart electrical switches,,,,,Failed,
Rate My Speech,Improve people's public speaking skills,,,,,Failed,
RewardMe,Loyalty platform for restaurants and retailers,,,,,Failed,
UDesign,Create & buy beautifully patterned women's clothing from your phone.,,,,,Failed,
Fastr,Whatsapp for Customer Service,,,,,Failed,
GuGo,A group-centric social intelligence platform,,,,,Failed,
Wattage,easily create customized hardware in your browser,,,,,Failed,
Allmyapps,First appstore for Windows PC,,,,,Failed,
BitShuva Radio,Pandora for niche music genres and indie bands,,,,,Failed,
Remember,Living scrapbook for your family's memories.,,,,,Failed,
SellanApp,Crowdsourced mobile app publishing,,,,,Failed,
KOLOS,The first iPad racing wheel,,,,,Failed,
Bluebird,Squarespace w/open source software & templates,,,,,Failed,
Secret,share personal secrets anonymously,,,,,Failed,
Bawte,One place. Everything you own. Forever.,,,,,Failed,
Patterbuzz,unbundle content & let users purchase single articles by enabling micro-payments,,,,,Failed,
Kiniku,"Read your body's muscle electrical signals, and control things with it",,,,,Failed,
Qhojo,AirBnB for camera and video gear.,,,,,Failed,
Stereomood,Mood based music curation & recommendation,,,,,Failed,
ComboCats,platform for turn-based multiplayer games,,,,,Failed,
College Inside View,Provide more detailed student reviews of colleges,,,,,Failed,
DeviceFidelity,Contactless payments / NFC for iphone,,,,,Failed,
Kinly,Create a private social network for families.,,,,,Failed,
Cusoy,curated restaurant finder for people with food allergies ,,,,,Failed,
Starthead,Crowdfunding service for the whole world from Czech Republic,,,,,Failed,
Poliana,Visualize political influence,,,,,Failed,
Zagreb Cohousing,"Coliving space in Zagreb, Croatia",,,,,Failed,
Springpad,digital notebooks,,,,,Failed,
Keep Fit Stay Sane,An Online Emotional Gym,,,,,Failed,
Shwrüm,OpenTable for Apparel Shopping,,,,,Failed,
Amiloom,device forms network of people w/common friends,,,,,Failed,
Wishareit,Find and buy gifts with/for friends. ,,,,,Failed,
Emjoyment,tinder for jobs,,,,,Failed,
Dinnr,same day ingredient delivery service,,,,,Failed,
Licensario,Billing system for SaaS,,,,,Failed,
X-Face,Put your face on characters.,,,,,Failed,
Fab.com (Hem Design),Flash sales of uniqly designed products,,,,,Failed,
Moped,make messaging more web-friendly,,,,,Failed,
Imercive,"360°, full motion, interactive video",,,,,Failed,
99dresses,trade fashion items,,,,,Failed,
Popin,"Private, mobile, location based social network",,,,,Failed,
OpTier,Business transaction management software,,,,,Failed,
Bloom.fm,music streaming service,,,,,Failed,
Manilla,online platform to manage accounts and pay bills ,,,,,Failed,
Pumodo,App for football players to share stats & accolades,,,,,Failed,
HowDo,"Place to discover, capture & share DIY & Craft guides",,,,,Failed,
Argyle,social media tools for B2B marketers,,,,,Failed,
orat.io,discussion platform & plugin,,,,,Failed,
Stipple,"tag people, places, and objects in an image",,,,,Failed,
Samba Mobile,ad funded data,,,,,Failed,
Zumbox,digitized transactional postal mail,,,,,Failed,
Needium,Social media lead generation for small businesses,,,,,Failed,
Critica,share your opinions on any website,,,,,Failed,
LayerVault,Version control for designers,,,,,Failed,
World Burrow,make unused meeting rooms available for free,,,,,Failed,
Mochi Media,ad network for developers,,,,,Failed,
Salorix,social media management,,,,,Failed,
Exec,on demand house cleaning service,,,,,Failed,
Readmill,app to read and share ebooks,,,,,Failed,
Blurtt,photo sharing app for iPhone,,,,,Failed,
Canvas/DrawQuest,Drawing/remixing community,,,,,Failed,
Delight,visualize how users interact with apps,,,,,Failed,
Outbox,Digitizes physical mail,,,,,Failed,
Exfm,music discovery platform,,,,,Failed,
Bookish,new destination to connect readers with books,,,,,Failed,
Teamometer,time tracking software,,,,,Failed,
Wahooly,Exchange startup equity for social advocacy,,,,,Failed,
Tigerbow,"send physical gifts by email, facebook and twitter",,,,,Failed,
Everpix,the smart photo platform,,,,,Failed,
MyManual,Custom instructions for home theater equipment by scanning barcodes,,,,,Failed,
Admazely,retargeting platform for web shops,,,,,Failed,
Travelllll,hottest travel news site on the planet,,,,,Failed,
Shnergle,app that allows to view a place in real time,,,,,Failed,
UniSport,online hub for student sport,,,,,Failed,
HitMeUp,Location-based flash sales,,,,,Failed,
Sonar,help users discover relevant contacts close by,,,,,Failed,
Intellibank,online CRM solution,,,,,Failed,
Flud,a personalized mobile news platform,,,,,Failed,
Flowtab,app to order and pay for drinks at a bar or nightclub,,,,,Failed,
Pollarize,Social app that enables users to create an A/B question,,,,,Failed,
Saaspire,relevancy platform,,,,,Failed,
Arkad,Investor relations software,,,,,Failed,
Thrively,Radically simple 360 feedback for your team,,,,,Failed,
Totsy,Flash sales for toddlers / young mothers,,,,,Failed,
On-Q-ity,non-invasive diagnostic monitoring tools cancer patients,,,,,Failed,
GroupSpaces,a membership management platform for groups,,,,,Failed,
Zillionears,creative pre-sale platform for musicians,,,,,Failed,
Formspring,social platform to help people learn more about others,,,,,Failed,
Vitoto,create collaborative videos on smartphones,,,,,Failed,
Gowalla,Social guide to share & discover experiences and cities,,,,,Failed,
Nokter,Foursquare for nightlife,,,,,Failed,
Parceld,style discovery platform,,,,,Failed,
Little Printer,"Send, receive & print messages/photos from anywhere",,,,,Failed,
Bellstrike,Instant websites for Nonprofits,,,,,Failed,
Plancast,social event sharing site,,,,,Failed,
TalentArena,Community & marketplace for artists from different verticals.,,,,,Failed,
HelloParking,airbnb for parking,,,,,Failed,
MyFavorites,Show + Tell Your Favorites,,,,,Failed,
Standout Jobs,relationship focused recruiting portal,,,,,Failed,
Wesabe,personal finance management platform,,,,,Failed,
NewsTilt,a platform for the new model of journalism,,,,,Failed,
RiotVine,social event guide,,,,,Failed,
YouCastr,monetize online video,,,,,Failed,
eCrowds,web content management meets social networking,,,,,Failed,
CertTime,Digital timestamping service,,,,,Failed,
Devver,turns desktop tools into cloud-based services. ,,,,,Failed,
SMSnoodle,SMS based entertainment channel for Singapore,,,,,Failed,
EventVue,Online communities to connect conference attendees,,,,,Failed,
Lookery,Enable social networks to distribute data as targeting info,,,,,Failed,
Sampa,"Platform for families & friends to share stories, photos, events and milestones",,,,,Failed,
TeeBeeDee,social network for people over 40,,,,,Failed,
PlayCafe,an online game show network,,,,,Failed,
Overto,auction aggregation service,,,,,Failed,
Diffle,social network based on simple 2D flash games,,,,,Failed,
Monitor110,data and information gathering service,,,,,Failed,
BricaBox,personal social content,,,,,Failed,
Meetro,a multi-network social messenger,,,,,Failed,
Kiko,an online calendar,,,,,Failed,
Nouncer,micro-blogging service,,,,,Failed,
Backfence,create hyper-local community sites,,,,,Failed,
Bitpass,Online micropayments,,,,,Failed,
Cryptine,information security services,,,,,Failed,
Boo.com,High End Sportwear e-tailer,,,,,Failed,
RoomsTonite,"RoomsTonite was a last-minute hotel booking app for people that decided to travel in or to India. It focused on listing hotels that had vacant rooms and could be filled on short notice. The app was free to download and could be found on the Apple and Google Store. The app specifically let people search and book rooms at a discounted price from about 4,000 hotels across 325 locations. The booked room was supposed to be filled on the same day or within 72 hours.",India,2014,3.0,100-250,Bankruptcy,1.0
Rafter,"Rafter was a textbook and course material provider for schools and colleges. The company, previously known as BookRenter, initially focused only on providing textbooks to educational institutions but decided to completely change strategy to gain an upper hand on its competitors. The company rebranded as Rafter and started providing cloud-based course material.

Rafter worked with small to medium colleges in particular, which found the bulk deals they were able to get hold of with Rafter advantageous. In this way, colleges were able to lower the prices of campus store books thus encouraging students to buy course material from the university instead of off-campus sites. Rafter also allowed instructors to find, sample and manage course material and provided digital books, audio, and video media as well as codes to access various online courses platforms.",United States,2006,10.0,50-100,Acquired,7.0
Sharingear,"Sharinger was a peer to peer musical gear sharing platform for independent musicians and touring bands. The startup’s founder, who had a decade of experience in the touring business, experienced first hand how the logistics of touring can be challenging, especially for small musicians. Sharingear's hoped to make touring more affordable and accessible. Users could create a profile and post the musical instruments or gears they had for free so that others could buy it or rent it.",Denmark,2014,1.0,10-Jan,Shut Down,1.0
Skully,"Skully is a helmet trademark which targets motorcycle riders. News of the helmet generated considerable buzz as the company promised that their helmet would be the first Augmented Reality (AR) product of its industry offering unique technological features. The helmet comes with a rear facing camera and a heads-up display that can also be used to check contacts names and music streaming. The Skully helmet was to supposedly be the safest in the world since it offered a ""360° experience"" with its 180° blindspot camera. Riders could also avail of the hands-free voice calling and texting feature during their commutes.",United States,2013,3.0,Oct-50,Shut Down,4.0
Wantful,"Wantful was an e-Commerce platform founded in 2011 with a base in San Francisco and New York City. The company targeted individuals looking to buy gifts for friends, family or acquaintances. Its objective was to help users by offering them personalized gift recommendations based on a set of input entered. The user needed to provide the site with information such as the gender, tastes and preferences of the person they were willing to donate the gift to and the platform would search through its inventory to bring a series of suggested items to the users. Wantful later expanded to allow users to find items for themselves as well and it even launched a series of popular products to complement their business.",United States,2011,2.0,"10,000",Shut Down,1.0
99dresses,"99dresses was a fashion application marketed as a virtual model closet which offered basic inter-trade of second-hand designer dresses between users. The brain-child of this application noticed the high turnover in ladies' closets, whereby they purchase a designer fashion dress, wear it a couple of times, get bored and end up leaving the dress hanging in the closet unused for the months and years to come. The founder of the startup figured that it could be profitable and extremely fascinating to connect two or more ladies with the similar issues, tastes, and needs and have them trade clothes; and so, 99 dresses was born.",Australia,2010,4.0,10-Jan,Shut Down,2.0
Argyle Social,"The Argyle Social was a Social media marketing tool. The company provided an easy to use, highly interactive platform for marketers to specifically improve their customers’ social media platform engagement and lead generation. Argyle was considered as having one of the best price-points in the market at some point. Widely praised for their intuitive dashboard and highly effective scheduling capabilities, Argyle had been for a period one of the most sought-after programs for many internet marketers.",United States,2010,4.0,Oct-50,Shut Down,2.0
Karhoo,"Karhoo was a cab aggregator and price comparison tool. Through its app, users could get a glance of all the licensed taxis, regulated and private cars for hire that were in the area. The user would be shown the pricing and location of the various cars on a map and they could then book rides with their cab of choice. Unlike other companies which have their own fleet of car, Karhoo relied on already available cabs and it took a 10% commision from the rides booked through its app.",United Kingdom,2014,2.0,50-100,Acquired,2.0
PoliMobile,"PoliMobile was launched in 2011 and had at its core the goal of providing political campaigns with a strategic way to reach their potential supporters while making use of the new technology. At first, PoliMobile began as a software-as-a-benefit (SaaS) platform and later updated into a Mobile application that could be utilized over an assortment of campaigns. PoliMobile's primary goal was to engage people by making use of text messages on their mobile. The application could recognize particular groups utilizing registration information and send customized messages that were used for building and creating awareness.",United States,2011,4.0,10-Jan,Shut Down,0.0
Delicious,"Delicious was a social bookmarking site that was founded in the year 2003 by Joshua Schachter and Peter Gadjokov. It was created to be different from other bookmarking platforms by enabling its users to store and share bookmarks. Delicious also let users access their saved bookmarks anywhere, anytime. It was free and allowed visitors to group links, save homepages, and work collaboratively with other users too. Delicious went on to become one of the most popular social bookmarking sites on the internet.",United States,2003,14.0,50-100,Still Active,1.0
QBotix,"QBotix seemed like a very promising cleantech startup, so much so that it was able to raise a collective $23.5M in funding. QBotix offered solar panels that were attached and regulated by robots which could track solar light and rotate the panels automatically. The aim was that of reducing systems cost and maximize efficiency and productivity.",United States,2010,5.0,Oct-50,Shut Down,3.0
Reach.ly,"Reach.ly was an analytics tool for e-commerce sites providing actionable customer behavior patterns. It engaged in a real-time analytics infrastructure, which allowed e-commerce sites to engage with their customers through customized messages. Their websites tailored to uncover customer behavior and enable real-time customization. It helped the site owners understand sales and conversion rate comparison between various channels. The customers’ behavior patterns were uncovered by deploying machine for recognizing patterns and learning.",Latvia,2011,4.0,10-Jan,Shut Down,3.0
BitPass,"Bitpass was a company that gave people a platform to make micropayments online. These payments were ranging from one cent to a dollar. BitPass developed an online payment system for digital content and services like the downloadable music and PDFs. Mperia, an online music store founded in 2003, was one of its greatest projects for unsigned artists. BitPass customers included giants such as Disney and Microsoft.",United States,2002,5.0,50-100,Shut Down,2.0
Flowtab,Flowtab was a mobile app that wanted to use technology to solve the problem of long queues in bars and hospitality venues. Flowtab created an app that would show users a list of drinks they could order from their mobiles without having to wait for the bartender to take their order. The app was connected to the bar's iPad which would then sync the orders to the POS terminal of the bar and payments would be are sent to the bar's bank account.,United States,2011,2.0,50-100,Shut Down,0.0
Moped,"Moped was a social app available for every device. Registered users could send and receive messages from their network connections. Beside the messaging service for both private and business purposes, Moped also offered a variety of other services to its users online. Some of its features included the possibility to upload the content and share it online with other users through Dropbox, or even to explore what nearby places offer good services, food, party, etc, by partnering with the Foursquare App. Moped also allowed all registered users to perform complex tasks by using multiple apps at the same time, with the help of the integrated IFTTT (if this, then that) app.",Germany,1998,16.0,Oct-50,Acquired,1.0
Leap Transit,"Leap transit was a private transport service based in San Francisco, they offered bus services with eye-catching and comfortable interiors. Leap was supposed to fill a gap in the transport system by serving people that didn't want to pay for an Uber ride every day and yet preferred a quieter environment to the public transport offered in the city. The buses had Wi-Fi, leather seats, AC sockets. They also had a mini bar offering snacks and beverages.",United States,2013,2.0,50-100,Shut Down,1.0
Berg,"Berg was a cloud platform on which Little Printer, an Internet-of-Things device, worked. Berg allowed users to print out interesting news from the web, social media, etc. across devices. Little Printer looked like a receipt printer but could be used as a social letterbox, targeting mainly families. It produced little retro style printed papers that could be used for various purposes. The competitors of Berg’s Little Printer were Turtle Mail, Ink and Memo Bird.",United Kingdom,2005,9.0,Oct-50,Shut Down,1.0
Springpad,"Springpad, a startup founded in 2008 was once considered an Evernote rival. The Springpad app was designed to empower users to clip, organize, and interpret all types of web content to create a comprehensive hub of articles, videos, images, recipes and more. The Springpad app was designed to empower users by organizing content.",United States,2008,6.0,Oct-50,Acquired,3.0
