market,products,launch_stage,activity_level,activity_verified,pageviews,team_member,founded_by,revenue_stage,revenue_through,twitter_followers,percentile,amount_raised,company_website,description,name,founded,place,crunchbase_link,ranking
"'sharing economy', 'social networks', 'travel', 'messaging'",'mobile app',Pre,No recent company activity detected,17 Sep 19,0,3,'Abord',Pre,"'other', 'b2c', 'b2b', 'free to use', 'commission', 'advertising', 'freemium', 'subscription'",20,9,Undisclosed,http://getabord.com?ref=startuptracker,'Connect with other travelers and locals that have similar travel plans. Save on your entire trip budget and discover new travel experiences.','Abord',June 18 2019,Boulder US,https://angel.co/company,0
"'other', 'data', 'travel', 'content'","'mobile app', 'web app'",Pre,Sourced by Startup Tracker,17 Sep 19,Undisclosed,4,,Pre,"'b2c', 'free to use', 'freemium'",9,9,Undisclosed,https://www.liist.cc?ref=startuptracker,"'A tool that turns your photos, notes, maps into shareable recommendations'",'Liist',July 4 2019,New York City US,https://startuptracker.io,0
'food and beverages','other',Publicly,High company activity detected,13 Sep 19,~80.1k,5-10,'bokksu',Pre,"'other', 'subscription'",7k,9,Undisclosed,https://www.bokksu.com/?ref=startuptracker,'Bokksu is a premium subscription service that delivers thoughtfully curated boxes of artisanal Japanese snacks and teas.','Bokksu',March 11 2015,New York US,https://www.crunchbase.com/organization/bokksu,60k
"'advertising', 'analytics', 'marketing', 'media'",'service',Publicly,No recent company activity detected,10 Sep 19,352,1,'Neil Hoyne',Pre,"'b2c', 'b2b', 'free to use', 'subscription'",352,9,Undisclosed,https://proof.to?ref=startuptracker,"""Master the world's most powerful marketing ideas each week, for free.""",'Proof',July 1 2019,San Jose US,https://betalist.com/startups/proofto,0
"'data', 'e commerce', 'startups', 'big data'","'service', 'web app'",Publicly,High company activity detected,10 Sep 19,~14.1k,11-50,"""Michael A'Burzynski""",Pre,"'b2c', 'b2b', 'b2g', 'freemium'",363,9,Undisclosed,https://datantify.com?ref=startuptracker,'Datanify is the largest provider of high-quality company databases. We have access to over 100 million unique companies.','Datantify',August 14 2018,Montebello US,https://crunchbase.com/organization/datantify,335.1k
"'other', 'startups'",'web app',Publicly,No recent company activity detected,9 Sep 19,0,5-10,"'Shahar Chaskelevitch', 'Tomer Barnea', 'Dima Grossman', 'Aviram Kadosh'",Pre,"'b2b', 'free to use', 'freemium'",18,9,Undisclosed,http://www.SaaSi.co?ref=startuptracker,'SaaSi empowers your team and eliminates waste by providing visibility into your software usage.','SaaSi',July 1 2019,New York US,https://www.crunchbase.com/organization/saasi,0
"'other', 'education', 'health', 'social networks'",'service',Publicly,No recent company activity detected,8 Sep 19,~1.5k,101-250,'Lean On Me',Pre,"'non profit', 'free to use', 'sales'",20,9,Undisclosed,https://lean0n.me?ref=startuptracker,'Lean On Me strengthens communities by providing peer-to-peer text lines that allow for easy access to confidential non-crisis support.','Lean On Me',February 1 2016,Cambridge US,https://www.crunchbase.com/organization/lean-on-me,3m
"'data', 'gaming', 'marketing', 'media'",'service',Pre,No recent company activity detected,3 Jun 19,7,3,"'StreamerCloud.com', 'Gamer Ninja'",Pre,"'b2c', 'sales'",7,9,Undisclosed,https://streamercloud.com?ref=startuptracker,'Helping live streaming influencers achieve more.','Streamer Cloud',March 3 2018,New York US,https://startuptracker.io,0
"'e commerce', 'fashion', 'retail'",'physical goods',Privately,High company activity detected,7 Sep 19,41,1,'Sunglass Innovation®',Pre,"'b2c', 'b2b', 'sales'",41,9,Undisclosed,https://www.sunglassinnovation.com?ref=startuptracker,"'Internet Sunglass Store: sell innovative sunglasses ""unique as you"", ""creative shade for all occasions"", ""hi-tech wear with hi-tech flair"".'",'Sunglass Innovation',August 31 2017,Los Angeles US,https://crunchbase.com/organization/sunglassinnovation-com,0
"'e commerce', 'sales', 'software dev'",'service',Publicly,Low company activity detected,6 Sep 19,~9.5k,5-10,"'Jay Gibb', 'Graeme Rouse'",Pre,"'b2b', 'subscription'",5.8k,9,Undisclosed,http://www.cloudsponge.com?ref=startuptracker,'CloudSponge provides SaaS-based solutions that handle address book importing from email accounts.','CloudSponge',October 1 2010,San Francisco US,https://www.crunchbase.com/organization/cloudsponge,497.1k
"'finance', 'sharing economy', 'startups', 'software dev'",'mobile app',Publicly,High company activity detected,5 Sep 19,~3.6k,5-10,'ZIRTUE',Pre,"'b2c', 'b2b', 'other', 'free to use'",204,9,Undisclosed,https://www.zirtue.com/?ref=startuptracker,'relationship-based lending application that simplifies loans between friends & family w/ automatic ACH loan payments.','Zirtue',April 1 2018,Dallas US,https://www.crunchbase.com/organization/zirtue,1.3m
"'other', 'media', 'startups'","'other', 'service'",Publicly,No recent company activity detected,5 Sep 19,~20.4k,5-10,'Ziggeo',Pre,"'b2b', 'subscription'",4.2k,9,Undisclosed,http://ziggeo.com?ref=startuptracker,'API for video recording and playback','Ziggeo',January 1 2012,New York US,https://www.crunchbase.com/organization/ziggeo,233k
"'hr and recruitment', 'startups', 'ai', 'software dev'",'other',Publicly,High company activity detected,5 Sep 19,~9.4k,5-10,,Pre,"'b2b', 'sales'",See,9,Undisclosed,https://6nomads.com/?ref=startuptracker,'6nomads is a matching platform that allows companies to find remote verified engineers from around the world.','6nomads',February 1 2019,San Francisco US,https://crunchbase.com/organization/6nomads,504k
"'data', 'iot', 'hospitality'",'web app',Publicly,High company activity detected,4 Sep 19,0,5-10,'Tapyness®',Pre,"'b2b', 'subscription'",255,9,Self,https://www.tapyness.com?ref=startuptracker,"'A SaaS platform offering best-in-class consumer experience measurement, capturing the human pulse up to 100x traditional survey methods'",'Tapyness',May 10 2016,Lawrence US,https://startuptracker.io,0
"'other', 'marketing', 'sales'","'service', 'web app'",Publicly,Low company activity detected,2 Sep 19,~2.9k,5-10,'Supercode',Pre,"'b2c', 'b2b', 'freemium', 'subscription'",34,9,Self,https://supercode.co?ref=startuptracker,'Professional QR Code Generator','Supercode',August 31 2019,New York US,https://www.crunchbase.com/organization/supercode,1.6m
"'gaming', 'startups', 'software dev'",'service',Publicly,Low company activity detected,2 Sep 19,~77.3k,51-100,'Omar Gabr',Pre,"'b2b', 'subscription'",2.8k,9,$20m,https://instabug.com?ref=startuptracker,'We deliver Real-Time Contextual Insights; empowering mobile teams to accelerate their workflow and release with confidence','Instabug',December 31 2012,Palo Alto US,https://www.crunchbase.com/organization/instabug,62.1k
"'education', 'hr and recruitment', 'events', 'sales'",'mobile app',Publicly,Low company activity detected,27 Aug 19,0,5-10,'Dan B. Lee',Post,"'b2c', 'b2b', 'freemium', 'subscription'",3.5k,9,Undisclosed,https://rememorate.com?ref=startuptracker,'Rememorate is a mobile app that combines tech tools with tested psychological techniques to help you remember the people you meet.','Rememorate',May 26 2017,Brooklyn US,https://www.crunchbase.com/organization/rememorate,0
"'startups', 'accounting and legal'",'service',Publicly,High company activity detected,27 Aug 19,~4.2k,5-10,'Dvorah Graeser',Pre,"'b2b', 'sales'",610,9,Undisclosed,http://kisspatent.com/?ref=startuptracker,"'KISSPatent provides IP services for entrepreneurs, small businesses, and startups'",'KISSPatent',December 31 2013,Chicago US,https://www.crunchbase.com/organization/kisspatent,1.1m
"'finance', 'hr and recruitment', 'sharing economy'","'mobile app', 'service', 'web app'",Privately,No recent company activity detected,26 Aug 19,~32.9k,11-50,'Uulala',Pre,"'b2c', 'b2b', 'other', 'free to use', 'sales'",633,9,Undisclosed,https://uulala.io/?ref=startuptracker,"'Empowering the underbanked community by helping them save money, control their finances and build a blockchain based credit score.'",'Uulala',June 7 2017,Ontario US,https://www.crunchbase.com/organization/uulala,144.9k
"'e commerce', 'accounting and legal'",'service',Publicly,No recent company activity detected,26 Aug 19,~6.8k,5-10,'Entriwise',Post,"'b2b', 'free to use', 'subscription'",33,9,Self,https://www.entriwise.com?ref=startuptracker,'Amazon Seller Accounting and Inventory Profitability Integration for QuickBooks','Entriwise',October 21 2016,Linden US,https://crunchbase.com/organization/entriwise,697.3k
"'analytics', 'ai', 'big data'","'service', 'web app'",Publicly,No recent company activity detected,26 Aug 19,~2.7k,11-50,'UniBit',Pre,"'b2c', 'b2b', 'freemium', 'subscription'",50,9,Undisclosed,https://unibit.ai/?ref=startuptracker,"'UniBit uses AI to deploy unique market data feeds for trading, analytics and applications.'",'UniBit',December 31 2017,Boston US,https://producthunt.com/posts/unibit-api,1.7m
"'advertising', 'ai', 'big data', 'content'",'web app',Publicly,High company activity detected,23 Aug 19,~55.6k,5-10,'👋 Arjun Rai | 👉HelloWoofy.com',Post,"'b2b', 'subscription'",3.9k,9,Undisclosed,http://Hellowoofy.com?ref=startuptracker,"'HelloWoofy.com, a Data Science Driven Marketing Platform, is built for small businesses as small business owners ourselves.'",'HelloWoofy.com / Woofy.ai',August 1 2016,New York US,https://crunchbase.com/organization/woofy-inc,86.2k
"'health', 'ai'","'other', 'mobile app', 'web app'",Publicly,No recent company activity detected,21 Aug 19,~1.5k,3,'Lazarus',Pre,"'b2c', 'free to use', 'subscription'",30,9,Undisclosed,https://www.lazarusai.com?ref=startuptracker,'HealthAI lets users take a picture of a mole and screen for cancer.','HealthAI',October 5 2017,Cambridge US,https://crunchbase.com/organization/lazarus-enterprises-2,3.1m
"'productivity', 'hr and recruitment', 'content'",'web app',Privately,No recent company activity detected,20 Aug 19,0,5-10,'Wrangle',Pre,"'b2c', 'subscription'",64,9,Undisclosed,https://wrangle.work?ref=startuptracker,'The best way to hire or be hired in media & entertainment.','Wrangle',February 2 2019,Los Angeles US,https://www.crunchbase.com/organization/wrangle-3a59,0
"'data', 'design', 'startups', 'software dev'","'other', 'service', 'web app'",Publicly,Sourced by Startup Tracker,15 Aug 19,~4.4k,5-10,"'SaaS Startup Kit', 'Keeni Procedures', 'Aurora Forecast', 'Keeni Space Operating Procedures'",Pre,"'b2b', 'non profit', 'free to use'",3,9,Self,https://saasstartupkit.com/?ref=startuptracker,'Open-source project of Go code to bootstrap your software-as-a-service startup.','SaaS Startup Kit',June 1 2019,Anchorage US,https://startuptracker.io,1.1m
"'analytics', 'data', 'blockchain', 'big data'","'service', 'web app'",Pre,No recent company activity detected,14 Aug 19,~2.6k,5-10,"'Kaleb Jordan Wilson', 'Paroma Indilo'",Pre,"'b2c', 'b2b', 'commission'",269,9,Self,https://datacy.com/?ref=startuptracker,'We enable businesses to buy data directly from the users','datacy',September 30 2018,Tennessee US,https://crunchbase.com/organization/datacy,1.8m
"'advertising', 'marketing', 'real estate'","'other', 'service'",Publicly,High company activity detected,13 Aug 19,~1.3k,5-10,'Lead Geeks',Pre,"'other', 'subscription'",256,9,Undisclosed,https://leadgeeks.com?ref=startuptracker,'Your one-stop shop for EXCLUSIVE motivated home seller leads!','Lead Geeks',November 1 2016,Phoenix US,https://crunchbase.com/organization/lead-geeks,3.7m
"'other', 'e commerce', 'retail', 'software dev'","'service', 'web app'",Publicly,Low company activity detected,13 Aug 19,~10k,5-10,'Piio',Pre,"'b2b', 'sales', 'subscription'",228,9,Undisclosed,https://piio.co?ref=startuptracker,"""Generates responsive images so you don't have to optimize""",'Piio',January 1 2018,San Francisco US,https://www.crunchbase.com/organization/piio,471.8k
"'advertising', 'marketing', 'sales'","'other', 'service', 'web app'",Publicly,No recent company activity detected,12 Aug 19,~24.5k,4,'Daniel Levi',Pre,"'b2b', 'free to use'",190,9,Undisclosed,https://www.mailgenius.com/?ref=startuptracker,'Find out if your email is likely to trigger spam filters. Run a free email spam and security test in less than 1 minute with MailGenius.com','MailGenius',April 30 2019,Los Angeles US,https://startuptracker.io,194.2k
'health','mobile app',Publicly,High company activity detected,7 Aug 19,~113.1m,2,'Mooditude App',Pre,"'b2c', 'free to use'",1k,9,Undisclosed,https://apps.apple.com/us/app/mooditude-mood-tracker-cbt/id1450661800?ref=startuptracker,'Mooditude helps build resilience to stress and anxiety','Mooditude',April 4 2019,Santa Monica US,https://producthunt.com/posts/moody,45
"'other', 'messaging'","'desktop app', 'web app'",Publicly,No recent company activity detected,5 Aug 19,~3.4k,5-10,'Danilka',Pre,"'b2b', 'freemium', 'subscription'",11,9,Undisclosed,https://replynow.io/?ref=startuptracker,'Single inbox for business messengers.','Reply Now',May 1 2018,San Jose US,https://crunchbase.com/organization/reply-now,1.4m
"'consulting', 'insurance', 'security', 'ai'",'service',Pre,No recent company activity detected,4 Aug 19,0,2,"'breachbits', 'John L.'",Pre,"'b2b', 'b2g', 'subscription'",84,9,Self,http://www.breachbits.com?ref=startuptracker,"'Continuous, affordable, and powerful cyber Red Teaming service - powered by artificial intelligence and automation.'",'breachbits',February 28 2018,"Washington, D.C. US",https://www.crunchbase.com/organization/breachbits,0
"'design', 'productivity', 'startups'",'web app',Publicly,High company activity detected,3 Aug 19,~18.9k,3,"'PlaybookUX', 'Personal Zen'",Pre,"'b2b', 'freemium'",204,9,Undisclosed,https://www.playbookux.com?ref=startuptracker,'PlaybookUX is a user testing software that connects businesses with their target demographic.','PlaybookUX',November 1 2018,New York US,https://crunchbase.com/organization/playbookux,251.5k
"'design', 'e commerce', 'fashion', 'social networks'","'desktop app', 'mobile app', 'web app'",Publicly,High company activity detected,3 Aug 19,~1.4k,5-10,'Genau Junior',Pre,"'other', 'b2c', 'b2b', 'free to use', 'commission', 'affiliation'",3.2m,9,Undisclosed,http://yoobe.me?ref=startuptracker,'Platform to help celebrities and content creators to create their merchandise store.','Yoobe',November 8 2018,San Francisco US,https://www.crunchbase.com/organization/yoobe,3.2m
'hr and recruitment','desktop app',Publicly,No recent company activity detected,2 Aug 19,0,5-10,'Nynedge',Pre,"'b2c', 'b2b', 'free to use', 'subscription'",30,9,Undisclosed,https://www.nynedge.com?ref=startuptracker,'Nynedge is a peer to peer SaaS-based Platform for Remote Jobs.','Nynedge',November 23 2018,GAITHERSBURG US,https://www.crunchbase.com/organization/nynedge,0
"'data', 'productivity', 'messaging', 'software dev'","'desktop app', 'mobile app', 'service'",Publicly,No recent company activity detected,1 Aug 19,0,1,,Pre,"'b2c', 'freemium'",See,9,Undisclosed,https://www.copybucket.com?ref=startuptracker,'Collaboration is now as easy as copy and paste!','CopyBucket',January 31 2018,Cupertino US,https://startuptracker.io,0
"'data', 'social networks', 'real estate'","'mobile app', 'web app'",Privately,No recent company activity detected,31 Jul 19,56,5-10,"'Lillian', 'Yooney 🏗', 'Block Notary', 'Microwork', 'POA Network'",Pre,"'b2c', 'b2b', 'freemium', 'sales', 'subscription'",56,9,Undisclosed,https://yooney.com?ref=startuptracker,'View construction history before you hire and build','Yooney',January 8 2019,san mateo US,https://www.crunchbase.com/organization/yooney,0
"'other', 'social networks'",'web app',Pre,No recent company activity detected,29 Jul 19,252,1,'ColdCrowd',Pre,"'b2c', 'other', 'free to use'",252,9,Undisclosed,https://www.coldcrowd.com/?ref=startuptracker,'Crowdfunding and crowdsourcing for cold and unsolved cases.','ColdCrowd',July 22 2019,Cleveland US,https://crunchbase.com/organization/coldcrowd,0
'productivity',"'desktop app', 'web app'",Publicly,High company activity detected,28 Jul 19,0,2,,Pre,"'b2c', 'b2b', 'subscription'",See,9,Undisclosed,https://publist.app?ref=startuptracker,"'Publist connects to all of the apps you use so you can search, organize, and store all of your file in one place.'",'Publist',June 5 2017,San Fransisco US,https://crunchbase.com/organization/publist,0
"'food and beverages', 'fashion', 'startups', 'sales'","'mobile app', 'service'",Publicly,High company activity detected,25 Jul 19,0,5-10,'MyCali Designs',Post,"'other', 'b2c', 'b2b', 'non profit', 'sales', 'subscription'",10,9,Undisclosed,http://www.dapitapp.com?ref=startuptracker,"'DapIt is a new way for businesses to offer gift cards digitally. Customers have the ability to buy, give instantly, share, and pay.'",'DapIt App',March 1 2018,Woodland US,https://www.crunchbase.com/organization/dapit-app,0
"'other', 'startups', 'ai', 'software dev'","'other', 'desktop app', 'mobile app', 'service', 'web app'",Publicly,High company activity detected,24 Jul 19,~18.6k,11-50,'Testsigma',Pre,"'other', 'b2c', 'b2b', 'affiliation', 'freemium', 'subscription'",360,9,Undisclosed,https://testsigma.com?ref=startuptracker,'AI Driven Test Automation for all!','Testsigma',August 26 2017,Delaware US,https://www.crunchbase.com/organization/testsigma-inc,255.8k
"'analytics', 'productivity', 'hr and recruitment', 'startups'",'web app',Pre,High company activity detected,23 Jul 19,~18.1k,5-10,"'Andriy Bas', 'Dima Kovalenko'",Pre,"'b2b', 'free to use', 'freemium', 'subscription'",80,9,Undisclosed,https://plai.team?ref=startuptracker,"'Plai, Align and focus your employees around what matters with the first free OKR tool. Set objectives, track progress and monitor dashboard!'",'Plai',June 4 2019,Los Angeles US,https://crunchbase.com/organization/plai-a8fd,261.8k
'finance','service',Privately,High company activity detected,23 Jul 19,~34k,11-50,"'Henry Yoshida, CFP®', 'Thomas Young', 'Richard Dude Jr.'",Pre,"'b2c', 'b2b', 'affiliation', 'sales', 'subscription'",819,9,Undisclosed,https://www.rocketdollar.com?ref=startuptracker,'Invest IRAs and old 401(k)s into cool things. Welcome to “21st century diversification”','Rocket Dollar',February 15 2018,Austin US,https://www.crunchbase.com/organization/rocket-dollar,140.4k
"'startups', 'software dev'",'web app',Publicly,No recent company activity detected,23 Jul 19,0,3,'Darshan Patil',Pre,"'b2b', 'subscription'",See,9,Undisclosed,https://fluxroll.com?ref=startuptracker,'Production support for modern teams','fluxroll',June 1 2018,New York US,https://betalist.com/startups/fluxroll,0
"'communication', 'consulting', 'sales', 'software dev'","'service', 'web app'",Publicly,No recent company activity detected,21 Jul 19,~979,4,"'ScopeStack', 'Jon Scott'",Post,"'b2b', 'subscription'",36,9,Undisclosed,https://scopestack.io?ref=startuptracker,"'In one simple step, the platform enables engineers to accurately price professional services and reduce time to scope a project'",'ScopeStack',January 1 2018,"Greenville, SC US",https://startuptracker.io,4.7m
"'analytics', 'data', 'big data'",'web app',Publicly,High company activity detected,16 Jul 19,0,11-50,'Peter Bailis',Pre,"'b2b', 'freemium', 'sales'",1.2k,9,Undisclosed,http://www.sisu.ai?ref=startuptracker,'We’re building a new kind of software that empowers people to make better decisions with data.','Sisu',May 15 2018,San Francisco US,https://www.crunchbase.com/organization/sisu-data,0
"'biotech', 'health', 'blockchain', 'medical'",'other',Pre,No recent company activity detected,15 Jul 19,0,4,"'Josh Maurer', 'Todd'",Pre,'other',316,9,Undisclosed,https://MedBlox.io?ref=startuptracker,'MedBlox provides validation of Patient Identity across organizations.','MedBlox',January 1 2018,Coralville US,https://crunchbase.com/organization/medblox,0
"'education', 'marketing', 'hr and recruitment', 'accounting and legal'","'service', 'web app'",Privately,High company activity detected,12 Jul 19,~17.3k,5-10,'Bogdan Glushko',Pre,"'b2b', 'free to use', 'subscription'",180,9,Undisclosed,https://www.mightyforms.com/?ref=startuptracker,'Create connections and scale your business with a more powerful and flexible online form builder.','MightyForms',August 10 2018,Cleveland US,https://www.crunchbase.com/organization/mightyforms,275.1k
"'media', 'startups', 'content', 'sales'",'service',Pre,High company activity detected,12 Jul 19,0,2,'Alex',Pre,"'b2c', 'b2b', 'subscription'",224,9,Undisclosed,https://basicly.io?ref=startuptracker,'Basicly is a tool to help video makers get paid as soon as a project is completed.','Basicly',May 6 2019,New York US,https://producthunt.com/posts/basicly,0
"'communication', 'productivity', 'ai', 'bots'","'service', 'web app'",Privately,Sourced by Startup Tracker,10 Jul 19,~2.5k,5-10,"'Keeni', 'SpotTune', 'TUNE', 'Eat Tune', 'a-tune', 'Aurora Forecast'",Pre,"'b2b', 'b2g', 'subscription'",5,9,Undisclosed,https://keeni.space?ref=startuptracker,'Ubiquitous platform for standardizing and sharing operating procedures to increase performance and collaboration of diverse global teams.','Keeni Procedures',January 1 2019,Anchorage US,https://crunchbase.com/organization/keeni-space,1.9m
'ai','web app',Publicly,Sourced by Startup Tracker,9 Jul 19,~3.9k,101-250,'Margaret',Pre,"'b2b', 'sales'",4,9,Undisclosed,https://getdatabees.com?ref=startuptracker,'Custom Lead Research at Scale','DataBees',December 31 2016,San Francisco US,https://startuptracker.io,1.2m
"'e commerce', 'travel', 'blockchain'","'mobile app', 'web app'",Publicly,High company activity detected,8 Jul 19,~208.4k,5-10,"'Lolli 🍭', '§Alex Adelman 🍭', '§matt 🍭'",Pre,"'b2c', 'free to use'",46k,9,Undisclosed,http://www.lolli.com?ref=startuptracker,'Lolli lets you earn free bitcoin when you shop online.','Lolli',March 1 2018,New York US,https://www.crunchbase.com/organization/lolli,23.2k
'startups','service',Publicly,High company activity detected,21 Jun 19,~1.2k,1,,Pre,"'b2b', 'advertising'",3.9m,9,Self,http://www.cypresshomecare.com/?ref=startuptracker,"'Cypress Homecare Solutions provides top quality, individualized & compassionate care to clients.'",'Cypress Home Care Solutions',January 1 1988,Phoenix US,https://startuptracker.io,3.9m
"'analytics', 'e commerce', 'marketing', 'startups'",'web app',Publicly,Low company activity detected,20 Jun 19,~15.5k,1,"'zigpoll', 'JQBX'",Pre,"'b2c', 'b2b', 'free to use', 'subscription'",11,9,Self,https://www.zigpoll.com?ref=startuptracker,'Fun and flexible polling widget for your website','Zigpoll',April 7 2019,New York US,https://www.crunchbase.com/organization/zigpoll,305.7k
"'advertising', 'consulting', 'education', 'governmental'","'desktop app', 'mobile app', 'service', 'web app'",Publicly,No recent company activity detected,19 Jun 19,~9.3k,2,"'Colorful Dots, LLC', 'Eric David Smith'",Pre,"'b2c', 'b2b', 'b2g', 'sales'",583,9,Undisclosed,https://colorfuldots.com/?ref=startuptracker,"'We develop custom mobile applications, and websites. We offer a wide range of technical services within the private and public sectors.'","'Colorful Dots, LLC'",March 26 2018,Brooklyn US,https://www.crunchbase.com/organization/colorful-dots,507.8k
"'education', 'entertainment'","'mobile app', 'web app'",Privately,No recent company activity detected,18 Jun 19,0,5-10,'Try Storied',Pre,"'non profit', 'free to use', 'freemium', 'subscription'",8,9,Undisclosed,https://www.trystoried.com?ref=startuptracker,'Top-Rated 5 Minute fresh and original content Stories for Children that will spark intrigue for years to come.','Try Storied App',January 31 2019,California US,https://startuptracker.io,0
"'advertising', 'media', 'social networks', 'big data'","'mobile app', 'web app'",Pre,No recent company activity detected,14 Jun 19,3.3k,5-10,,Pre,"'other', 'free to use', 'advertising'",3.3k,9,Undisclosed,https://www.bawler.xyz/?ref=startuptracker,'A free and accessible social network for written content and podcasts.','Bawler',January 23 2019,New York US,https://www.crunchbase.com/organization/bawler,0
'advertising','service',Publicly,High company activity detected,13 Jun 19,~659,1,,Pre,"'b2b', 'other'",7m,9,Undisclosed,https://www.ketamine-infusion.com/?ref=startuptracker,"'Get real relief from chronic pain, depression'",'Ketamine Infusion Centers',January 1 1988,Phoenix US,https://startuptracker.io,7m
"'other', 'hr and recruitment', 'startups', 'real estate'","'desktop app', 'mobile app', 'web app'",Privately,High company activity detected,12 Jun 19,~29.6k,51-100,"'Zach Dunn', 'Sam Dunn'",Post,"'b2b', 'sales'",1.3k,9,$29.1m,https://robinpowered.com?ref=startuptracker,'Robin modernizes the open office. The solution to the open office isn’t more walls. It’s activity-based working.','Robin',March 1 2014,Boston US,https://www.crunchbase.com/organization/getrobin,161.2k
'advertising','service',Publicly,No recent company activity detected,12 Jun 19,2,1,"'Maria E. Marzo, DDS'",Pre,"'b2c', 'other'",2,9,Undisclosed,https://www.fingerlakesfamilydental.com/?ref=startuptracker,"'Finding a family dental clinic near Corning, Bath, and Horseheads, NY'",'Finger Lakes Family Dental',January 1 1988,Painted Post US,https://startuptracker.io,0
"'other', 'advertising'",'service',Publicly,High company activity detected,12 Jun 19,~1.3k,1,,Pre,"'b2b', 'other'",3.5m,9,Undisclosed,https://www.sellmysahousefast.com?ref=startuptracker,"'We Buy Houses San Antonio, Cash For House San Antonio'",'Capstone Homebuyers',January 1 1988,San Antonio US,https://startuptracker.io,3.5m
"'analytics', 'marketing', 'ai', 'content'","'desktop app', 'service', 'web app'",Privately,No recent company activity detected,11 Jun 19,~1.4k,5-10,'MKTR.AI',Post,"'b2b', 'other', 'sales'",207,9,Undisclosed,https://www.mktr.ai?ref=startuptracker,'Technical Marketing Software products built to simplify inbound marketing for SMBs.','MKTR.AI',February 14 2018,san francisco US,https://www.crunchbase.com/organization/mktr-ai,3.3m
'advertising','service',Publicly,High company activity detected,22 May 19,Self,1,,Pre,"'b2c', 'other'",9,9,Self,https://www.saxtonindustrial.com/?ref=startuptracker,"'For over 65 years, Saxton Industrial has been designing and manufacturing'","'Saxton Industrial, Inc.'",January 1 1988,Glendale US,https://startuptracker.io,0
'advertising','service',Publicly,High company activity detected,11 Jun 19,Undisclosed,1,,Pre,"'b2b', 'other'",9,9,Undisclosed,https://www.siarum.com/?ref=startuptracker,'Siarum consolidates all your business tools into one single\xa0platform.',"'Siarum Communications, LLC'",January 1 1988,Birmingham US,https://www.crunchbase.com/organization/siarum-communications-llc,0
'startups','service',Pre,High company activity detected,11 Jun 19,Undisclosed,11-50,,Pre,"'b2b', 'free to use'",9,9,Undisclosed,https://www.dsplumbingrepair.com/?ref=startuptracker,'D&S Plumbing is family-owned and-operated company with over 20 years of experience.','D & S Plumbing Repair',December 31 1989,Locust Grove US,https://startuptracker.io,0
'advertising','service',Publicly,No recent company activity detected,11 Jun 19,~1.2k,1,'Applewild School',Pre,"'b2c', 'other'",3.8m,9,Undisclosed,http://www.rosso.com?ref=startuptracker,"""Rosso's furniture of Gilroy and Morgan""","""Rosso's Furniture""",January 1 1988,Gilroy US,https://startuptracker.io,3.8m
'advertising','service',Publicly,High company activity detected,11 Jun 19,~2.5k,1,,Pre,"'b2c', 'other'",1.8m,9,Undisclosed,http://www.healthysolutionsweb.com/?ref=startuptracker,"'At Healthy Solutions™, LLC we have years of experience'",'Healthy Solutions LLC',January 1 1988,Scottsdale US,https://startuptracker.io,1.8m
'startups','service',Pre,No recent company activity detected,11 Jun 19,Undisclosed,11-50,'Jerry Franklin',Pre,"'b2b', 'free to use'",9,9,Undisclosed,https://www.williamshm.com/?ref=startuptracker,"'Keep your cool no matter where you are in the Arlington, TX area. You can depend on the team at Williams Home Maintenance, Inc'","'Williams Home Maintenance, Inc'",December 31 1989,Pantego US,https://startuptracker.io,0
'advertising','other',Publicly,No recent company activity detected,11 Jun 19,~2k,1,'Applewild School',Pre,"'b2c', 'other'",2.4m,9,Undisclosed,http://toarminapizza.com/?ref=startuptracker,'We are a Michigan based company.\xa0 Since 1987','Toarminas Pizza',January 1 1988,Dearborn US,https://startuptracker.io,2.4m
"'finance', 'sharing economy', 'startups', 'blockchain'","'service', 'web app'",Publicly,High company activity detected,9 Jun 19,~78k,11-50,"'Rohit from Mudrex', 'PaxPlay'",Pre,"'b2c', 'b2b', 'freemium', 'subscription'",1.9k,9,Undisclosed,http://mudrex.com?ref=startuptracker,'Mudrex helps anyone invest like an algorithmic trader','Mudrex',January 6 2019,San Francisco US,https://www.crunchbase.com/organization/mudrex,61.6k
"'other', 'productivity', 'social networks'","'other', 'web app'",Privately,No recent company activity detected,7 Jun 19,0,2,'Carlo Tapia',Pre,"'b2c', 'b2b', 'free to use', 'freemium'",7,9,Undisclosed,http://www.vestedyeti.com?ref=startuptracker,"'Vested Yeti is a new home for your web pages. Organize your web pages, share web pages with friends, and keep track of your web pages.'",'Vested Yeti',April 23 2016,Sacramento US,https://www.crunchbase.com/organization/vested-yeti,0
"'gaming', 'ar/vr'",'desktop app',Privately,High company activity detected,7 Jun 19,0,3,'Shane Evans',Pre,"'b2b', 'sales', 'subscription'",46,9,Self,http://GameDriver.io?ref=startuptracker,"'Automated play testing for video games, AR and VR.'",'GameDriver',May 28 2018,Martinez US,https://crunchbase.com/organization/gamedriver-inc,0
'advertising','service',Publicly,No recent company activity detected,7 Jun 19,Undisclosed,1,'Applewild School',Pre,"'b2b', 'other'",9,9,Undisclosed,http://schaeferssoftwater.com/?ref=startuptracker,"'At Schaefer’s Soft Water, we carry water softner systems that are approved for the state of Wisconsin'",'Schaefers Soft Water',January 1 1988,Watertown US,https://startuptracker.io,0
